VIA MARIA GAETANA AGNESI 33,132,Centro Sociale Ruozi - Sala Tv                              ,via Castelmerlo 13, 
VIA MARIA GAETANA AGNESI 34,132,Centro Sociale Ruozi - Sala Tv                              ,via Castelmerlo 13, 
VIA MARIA GAETANA AGNESI 36,132,Centro Sociale Ruozi - Sala Tv                              ,via Castelmerlo 13, 
VIA MARIA GAETANA AGNESI 38,132,Centro Sociale Ruozi - Sala Tv                              ,via Castelmerlo 13, 
VIA DEGLI AGRESTI 2,168,Palazzo D'Accursio - Ufficio Messi Comunali                 ,via Ugo Bassi 2, 
VIA DEGLI AGRESTI 9,168,Palazzo D'Accursio - Ufficio Messi Comunali                 ,via Ugo Bassi 2, 
VIA AGUCCHI 1,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 1/2 ,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 1/3 ,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 3,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 5,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 6/4 ,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 7,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 8,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 9,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 10,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 10/2 ,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 11,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 11/2 ,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 13,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 14,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
VIA AGUCCHI 15,79,Centro Sportivo Pontelungo - Sala circolo tennis            ,via Agucchi 121/2 , 
